nome,cod_bolsa,categoria
Colgate,COLG,Consumo Não Cíclico
Coca-Cola,COCA,Consumo Não Cíclico
Avon,AVON,Consumo Não Cíclico
São Martinho,SMTO,Consumo Não Cíclico
MDiasBranco,MDIA,Consumo Não Cíclico
CAMIL,CAML,Consumo Não Cíclico
Brasilagro,AGRO,Consumo Não Cíclico
Minerva,BEEF,Consumo Não Cíclico
Vivara,VIVA,Consumo Não Cíclico
Carrefour,CRFB,Consumo Não Cíclico
Pão de Açúcar,PCAR,Consumo Não Cíclico
Natura,NTCO,Consumo Não Cíclico
Marfrig,MRFG,Consumo Não Cíclico
JBS,JBSS,Consumo Não Cíclico
Proctor Gamble,PGCO,Consumo Não Cíclico
BRF,BRFS,Consumo Não Cíclico
Banco Inter,INBR,Financeiro
STONE CO,STOC,Financeiro
Nu Holdings,NUBR,Financeiro
Iguatemi S.A.,IGTI,Financeiro
XP Inc,XPBR,Financeiro
TradersClub,TRAD,Financeiro
BRB Banco,BSLI,Financeiro
Battistella,BTTL,Financeiro
Banpara,BPAR,Financeiro
Wells Fargo,WFCO,Financeiro
Visa,VISA,Financeiro
Morgan Stanley,MSBR,Financeiro
Mastercard,MSCD,Financeiro
JPMorgan,JPMC,Financeiro
Honeywell,HONB,Financeiro
GE,GEOO,Financeiro
Goldman Sachs,GSGI,Financeiro
Citigroup,CTGP,Financeiro
Bank America,BOAC,Financeiro
3M,MMMC,Financeiro
Sao Carlos,SCAR,Financeiro
LPS Brasil,LPSB,Financeiro
BMG,BMGB,Financeiro
Gradiente,IGBR,Financeiro
General Shopping,GSHP,Financeiro
Porto Seguro,PSSA,Financeiro
CSU CardSyst,CARD,Financeiro
Brasil Brokers,BBRK,Financeiro
BR Properties,BRPR,Financeiro
Banrisul,BRSR,Financeiro
Santander BR,SANB,Financeiro
Multiplan,MULT,Financeiro
Itaú Unibanco,ITUB,Financeiro
Aliansce Sonae,ALSO,Financeiro
Banco Mercantil de Investimentos,BMIN,Financeiro
Mercantil do Brasil Financeira,MERC,Financeiro
Log,LOGG,Financeiro
Itaúsa,ITSA,Financeiro
IRB Brasil RE,IRBR,Financeiro
Padtec,PDTC,Financeiro
SYN Prop Tech,SYNE,Financeiro
Bradesco,BBDC,Financeiro
brMalls,BRML,Financeiro
Alper,APER,Financeiro
BB Seguridade,BBSE,Financeiro
Banco Pan,BPAN,Financeiro
Banco do Brasil,BBAS,Financeiro
American Express,AXPB,Financeiro
Terra Santa Agro SA,LAND,Materiais Básicos
Dexxos Part,DEXP,Materiais Básicos
Celulose Irani,RANI,Materiais Básicos
Freeport,FCXO,Materiais Básicos
Paranapanema,PMAM,Materiais Básicos
Ferbasa,FESA,Materiais Básicos
Eucatex,EUCA,Materiais Básicos
Suzano Papel,SUZB,Materiais Básicos
Klabin S/A,KLBN,Materiais Básicos
Vale,VALE,Materiais Básicos
Unipar,UNIP,Materiais Básicos
Suzano Holding,NEMO,Materiais Básicos
MMX Mineração,MMXM,Materiais Básicos
Gerdau,GOAU,Materiais Básicos
Dexco,DXCO,Materiais Básicos
CSN,CSNA,Materiais Básicos
Braskem,BRKM,Materiais Básicos
Bradespar,BRAP,Materiais Básicos
Arcelor,ARMT,Materiais Básicos
COPEL UNT N2,CPLE,Outros
FII GTIS LG,GTLG,Outros
PPLA,PPLA,Outros
BKR 20YR TRS,BTLT,Outros
BKR 1 3 YRTR,BSHY,Outros
BKR SHORT TR,BSHV,Outros
BKR 3 7 YRTR,BIEI,Outros
BKR 7 10 YRT,BIYT,Outros
BKR US TREAS,BGOV,Outros
INVESTO ALUG,ALUG,Outros
INVESTO WRLD,WRLD,Outros
Caixa Agências,CXAG,Outros
FII ROOFTOPICI,ROOF,Outros
FIAGRO JGP CI,JGPX,Outros
FII PLUR URBCI,PURB,Outros
FII BRIO ME CI,BIME,Outros
FII JS A FINCI,JSAF,Outros
Tellus Desenvolvimento Logístico,TELD,Outros
FII MORE CRICI ER,MORC,Outros
FII HUSI CI ES,HUSI,Outros
FII CYRELA CI ES,CYCR,Outros
EQI RECECI,EQIR,Outros
CARTESIA FIICI,CACR,Outros
FIAGRO RIZA CI,RZAG,Outros
Wilson Sons,PORT,Outros
Getnet,GETT,Outros
BKR US ENER,BIYE,Outros
BKR MS EAFE,BSCZ,Outros
BKR MS USA S,BUSA,Outros
BKR MS RUSS,BERU,Outros
BKR SEMICOND,BSOX,Outros
FT NAT GAS,BFCG,Outros
FT HCARE ALPH DRN,BFXH,Outros
FT TECH ALPH,BFTA,Outros
FT CLOUD CPT,BKYY,Outros
FT NASD100 TC,BQTC,Outros
FT DJ INTERN,BFDN,Outros
FT RISI DIVID,BFDA,Outros
FT INTL EQ OP,BFPI,Outros
FT NASD100 EQ,BQQW,Outros
FT EQ OPPORT,BFPX,Outros
FT NASD CYBER,BCIR,Outros
FT MOR DV LEA,BFDL,Outros
FT NYSE BIOT DRN,BFBI,Outros
BKR SP100 DRN ED,BOEF,Outros
BKR MS WLD,BURT,Outros
BKR GL Clean,BICL,Outros
BKR GL Fin,BIXG,Outros
Coinbase Glob,C2OI,Outros
Store Capital,S2TO,Outros
ISHARES MILA,MILA,Outros
ISHARES CSMO,CSMO,Outros
IT NOW HYDROCI,YDRO,Outros
BTG S&P 500 CI,SPXB,Outros
BTG SMLL CAPCI,SMAB,Outros
West Pharma,W2ST,Outros
Squarespace,S2QS,Outros
Uipath Inc,P2AT,Outros
Godaddy Inc,G2DD,Outros
Doordash Inc,D2AS,Outros
Camden Prop,C2PT,Outros
Sp500growth,BIVW,Outros
Sp500 Value,BIVE,Outros
Msciglmivolf,BCWV,Outros
Avalara Inc,A2VL,Outros
Amc Entert H,A2MC,Outros
AF Invest,AFHI,Outros
BRL Trust DTVM,HSRE,Outros
Votorantim Asset Management,VSEC,Outros
