,nome,cod_bolsa
231,BKR 1 3 YRTR,BSHY
232,BKR SHORT TR,BSHV
233,BKR 3 7 YRTR,BIEI
234,BKR 7 10 YRT,BIYT
235,BKR US TREAS,BGOV
236,INVESTO ALUG,ALUG
237,INVESTO WRLD,WRLD
238,Caixa Agências,CXAG
239,FII ROOFTOPICI,ROOF
240,FIAGRO JGP CI,JGPX
241,FII PLUR URBCI,PURB
242,FII BRIO ME CI,BIME
243,FII JS A FINCI,JSAF
244,Tellus Desenvolvimento Logístico,TELD
245,FII MORE CRICI ER,MORC
246,FII HUSI CI ES,HUSI
247,FII CYRELA CI ES,CYCR
248,EQI RECECI,EQIR
249,CARTESIA FIICI,CACR
250,FIAGRO RIZA CI,RZAG
251,Wilson Sons,PORT
252,Getnet,GETT
253,BKR US ENER,BIYE
254,BKR MS EAFE,BSCZ
255,BKR MS USA S,BUSA
256,BKR MS RUSS,BERU
257,BKR SEMICOND,BSOX
258,FT NAT GAS,BFCG
259,FT HCARE ALPH DRN,BFXH
260,FT TECH ALPH,BFTA
261,FT CLOUD CPT,BKYY
262,FT NASD100 TC,BQTC
263,FT DJ INTERN,BFDN
264,FT RISI DIVID,BFDA
265,FT INTL EQ OP,BFPI
266,FT NASD100 EQ,BQQW
267,FT EQ OPPORT,BFPX
268,FT NASD CYBER,BCIR
269,FT MOR DV LEA,BFDL
270,FT NYSE BIOT DRN,BFBI
271,BKR SP100 DRN ED,BOEF
272,BKR MS WLD,BURT
273,BKR GL Clean,BICL
274,BKR GL Fin,BIXG
275,Coinbase Glob,C2OI
276,Store Capital,S2TO
277,ISHARES MILA,MILA
278,ISHARES CSMO,CSMO
279,IT NOW HYDROCI,YDRO
280,BTG S&P 500 CI,SPXB
281,BTG SMLL CAPCI,SMAB
282,West Pharma,W2ST
283,Squarespace,S2QS
284,Uipath Inc,P2AT
285,Godaddy Inc,G2DD
286,Doordash Inc,D2AS
287,Camden Prop,C2PT
288,Sp500growth,BIVW
289,Sp500 Value,BIVE
290,Msciglmivolf,BCWV
291,Avalara Inc,A2VL
292,Amc Entert H,A2MC
293,AF Invest,AFHI
294,BRL Trust DTVM,HSRE
295,Votorantim Asset Management,VSEC
296,Agribrasil,GRAO
297,INVESTO USTK,USTK
298,AgroGalaxy,AGXY
299,Tronox,CRPG
300,Smart Fit,SMFT
301,Boa Safra,SOJA
302,Zynga Inc,Z2NG
303,Trade Desk,T2TD
304,Teladochealt,T2DH
305,Sun Commun,S2UI
306,Square Inc,S2QU
307,Snowflake,S2NW
308,Shopify Inc,S2HO
309,Caesars Entt,C2ZR
310,Unity Softwr,U2ST
311,Sea Ltd,S2EA
312,Penn Nationl,P2EN
313,Medical P Tr,M2PW
314,Kingsoft Chl,K2CG
315,Draftkings,D2KN
316,Cyrusone Inc,C2ON
317,Churchill Dw,C2HD
318,Beyond Meat,B2YN
319,Energisa MT,ENMT
320,FII AUTONOMYCI,AIEC
321,Vibra Energia S.A,VBBR
322,Raízen,RAIZ
323,PetroRecôncavo Geral SA,RECV
324,Schlumberger,SLBG
325,Halliburton,HALI
326,ConocoPhillips,COPH
327,Chevron,CHVX
328,PETRORIO,PRIO
329,OSX Brasil,OSXB
330,Dommo,DMMO
331,Pet Manguinhos,RPMG
332,Ultrapar,UGPA
333,Petrobras,PETR
334,Exxon Mobil,EXXO
335,Enauta Part,ENAT
336,Oncoclínicas,ONCO
337,Viveo,VVEO
338,Instituto Hermes Pardini SA,PARD
339,Biomm,BIOM
340,Baumer,BALM
341,Pfizer,PFIZ
342,Merck,MRCK
343,Biotoscana,GBIO
344,Dimed,PNVL
345,Alliar,AALR
346,OdontoPrev,ODPV
347,RD,RADL
348,Qualicorp,QUAL
349,Ourofino S/A,OFSA
350,Hypera Pharma,HYPE
351,Fleury,FLRY
352,ClearSale,CLSA
353,Livetech,LVTC
354,G2D Investments,G2DI
355,Infracommerce,IFCM
356,Alphabet,GOGL
357,Locaweb,LWSA
358,Totvs,TOTS
359,Xerox,XRXB
360,Qualcomm,QCOM
361,Oracle,ORCL
362,Microsoft,MSFT
363,IBM,IBMB
364,Intel,ITLC
365,HP Company,HPQB
366,eBay,EBAY
367,Cisco,CSCO
368,Att Inc,ATTB
369,Apple,AAPL
370,Linx,LINX
371,Positivo Inf,POSI
372,Ebay,EBAY
373,Brisanet,BRIT
374,Unifique,FIQE
375,Desktop,DESK
376,Verizon,VERZ
377,OI,OIBR
378,Tim Participações,TIMS
379,Telefônica Brasil S.A,VIVT
380,Telebras,TELB
381,Auren Energia,AURE
382,Omega Energia,MEGA
383,Celpe,CEPE
384,CEEE-D,CEED
385,Ceee-gt,EEEL
386,Casan,CASN
387,CEG,CEGR
388,CEB,CEBR
389,Renova,RNEW
390,Coelce,COCE
391,Celesc,CLSC
392,Alupar Investimento,ALUP
393,Sanepar,SAPR
394,CPFL Renovav,CPRE
395,Copel,CPLE
396,CPFL Energia,CPFE
397,Comgás,CGAS
398,AES Brasil,AESB
399,Neoenergia,NEOE
400,ISA CTEEP,TRPL
401,Engie Brasil,EGIE
402,Taesa,TAEE
403,Sabesp,SBSP
404,Renaova,RNEW
405,CESP,CESP
406,Cemig,CMIG
